"i","j","fij"
"ARM","BOL",3
"ABW","BOL",1
"AUS","BOL",126
"AUT","BOL",72
"AZE","BOL",0
"BHS","BOL",0
"BHR","BOL",0
"BGD","BOL",27
"BRB","BOL",0
"BLR","BOL",3
"BEL","BOL",204
"BLZ","BOL",456
"BEN","BOL",0
"BMU","BOL",0
"BES","BOL",10
"BIH","BOL",8
"BRA","BOL",13391
"BGR","BOL",12
"BDI","BOL",0
"CPV","BOL",45
"KHM","BOL",0
"CMR","BOL",11
"CAN","BOL",651
"CAF","BOL",51
"TCD","BOL",0
"CHL","BOL",2474
"CHN","BOL",703
"HKG","BOL",1
"COL","BOL",1723
"COG","BOL",5
"CRI","BOL",75
"CIV","BOL",1
"HRV","BOL",23
"CUB","BOL",900
"CUW","BOL",85
"CYP","BOL",0
"CZE","BOL",18
"PRK","BOL",7
"COD","BOL",1
"DNK","BOL",46
"DMA","BOL",2
"DOM","BOL",62
"ECU","BOL",554
"EGY","BOL",15
"SLV","BOL",56
"ERI","BOL",0
"EST","BOL",1
"ETH","BOL",2
"FJI","BOL",0
"FIN","BOL",20
